Entity,Code,Year,Maternal mortality ratio
Ethiopia,ETH,2008,724.7076
Ethiopia,ETH,2009,683.8136
Ethiopia,ETH,2010,634.7145
Ethiopia,ETH,2011,603.1648
Ethiopia,ETH,2012,543.31885
Ethiopia,ETH,2013,498.45016
Ethiopia,ETH,2014,447.35577
Ethiopia,ETH,2015,399.17053
Ethiopia,ETH,2016,355.66284
Ethiopia,ETH,2017,348.31128
Ethiopia,ETH,2018,311.85242
Ethiopia,ETH,2019,294.02185
Ethiopia,ETH,2020,266.68954
France,FRA,1990,14.426158
France,FRA,1991,14.672549
France,FRA,1992,14.916477
France,FRA,1993,15.473642
France,FRA,1994,14.770443
France,FRA,1995,14.176227
France,FRA,1996,13.035212
France,FRA,1997,11.691538
France,FRA,1998,10.61526
France,FRA,1999,10.108715
France,FRA,2000,9.361387
France,FRA,2001,9.310557
France,FRA,2002,9.343586
France,FRA,2003,9.1977825
France,FRA,2004,8.878178
France,FRA,2005,8.789566
France,FRA,2006,9.842747
France,FRA,2007,8.426876
France,FRA,2008,9.757088
France,FRA,2009,9.790642
France,FRA,2010,9.256813
France,FRA,2011,9.204711
France,FRA,2012,8.973588
France,FRA,2013,8.814902
France,FRA,2014,8.679656
France,FRA,2015,7.59504
France,FRA,2016,7.639073
France,FRA,2017,7.546536
France,FRA,2018,7.802404
France,FRA,2019,7.731595
France,FRA,2020,7.9090786
Ghana,GHA,1990,708.8897
Ghana,GHA,1991,692.8265
Ghana,GHA,1992,653.7135
Ghana,GHA,1993,665.4481
Ghana,GHA,1994,648.66394
Ghana,GHA,1995,623.1522
Ghana,GHA,1996,579.23596
Ghana,GHA,1997,552.18896
Ghana,GHA,1998,534.2244
Ghana,GHA,1999,510.05423
Ghana,GHA,2000,498.9074
Ghana,GHA,2001,469.95096
Ghana,GHA,2002,443.01547
Ghana,GHA,2003,423.5165
Ghana,GHA,2004,420.372
Ghana,GHA,2005,389.7518
Ghana,GHA,2006,364.66812
Ghana,GHA,2007,353.89215
Ghana,GHA,2008,353.70612
Ghana,GHA,2009,337.1938
Ghana,GHA,2010,336.93735
Ghana,GHA,2011,317.46487
Ghana,GHA,2012,305.33917
Ghana,GHA,2013,305.30823
Ghana,GHA,2014,286.29742
Ghana,GHA,2015,285.77322
Ghana,GHA,2016,258.11935
Ghana,GHA,2017,273.88803
Ghana,GHA,2018,272.81525
Ghana,GHA,2019,243.84125
Ghana,GHA,2020,263.10858
Guinea,GIN,1990,1193.8768
Guinea,GIN,1991,1189.1809
Guinea,GIN,1992,1104.0293
Guinea,GIN,1993,1032.761
Guinea,GIN,1994,1049.5302
Guinea,GIN,1995,1030.6342
Guinea,GIN,1996,997.51807
Guinea,GIN,1997,957.8529
Guinea,GIN,1998,922.7778
Guinea,GIN,1999,937.80493
Guinea,GIN,2000,970.92706
Guinea,GIN,2001,942.87775
Guinea,GIN,2002,928.5611
Guinea,GIN,2003,915.56116
Guinea,GIN,2004,887.22046
Guinea,GIN,2005,845.6137
Guinea,GIN,2006,817.4196
Guinea,GIN,2007,764.46344
Guinea,GIN,2008,736.7834
Guinea,GIN,2009,744.28845
Guinea,GIN,2010,740.7
Guinea,GIN,2011,744.2749
Guinea,GIN,2012,679.142
Guinea,GIN,2013,676.6941
Guinea,GIN,2014,660.7122
Guinea,GIN,2015,649.1199
Guinea,GIN,2016,625.82635
Guinea,GIN,2017,572.1399
Guinea,GIN,2018,567.718
Guinea,GIN,2019,555.54395
Guinea,GIN,2020,553.4016
Guyana,GUY,1990,266.55533
Guyana,GUY,1991,259.93103
Guyana,GUY,1992,252.35014
Guyana,GUY,1993,242.77074
Guyana,GUY,1994,243.45203
Guyana,GUY,1995,223.83362
Guyana,GUY,1996,217.0403
Guyana,GUY,1997,208.30664
Guyana,GUY,1998,196.12547
Guyana,GUY,1999,201.65599
Guyana,GUY,2000,190.08107
Guyana,GUY,2001,189.83852
Guyana,GUY,2002,172.66664
Guyana,GUY,2003,180.05959
Guyana,GUY,2004,171.66481
Guyana,GUY,2005,171.67383
Guyana,GUY,2006,177.30574
Guyana,GUY,2007,168.07275
Guyana,GUY,2008,149.61691
Guyana,GUY,2009,144.57707
Guyana,GUY,2010,147.86821
Guyana,GUY,2011,141.957
Guyana,GUY,2012,135.95515
Guyana,GUY,2013,132.62288
Guyana,GUY,2014,130.94016
Guyana,GUY,2015,128.33563
Guyana,GUY,2016,126.74779
Guyana,GUY,2017,123.331276
Guyana,GUY,2018,117.705696
Guyana,GUY,2019,109.76433
Guyana,GUY,2020,111.94294
India,IND,1990,498.04086
India,IND,1991,486.91403
India,IND,1992,482.33136
India,IND,1993,481.89944
India,IND,1994,444.02795
India,IND,1995,439.93512
India,IND,1996,439.49313
India,IND,1997,436.3723
India,IND,1998,403.52618
India,IND,1999,398.99048
India,IND,2000,384.44766
India,IND,2001,371.2746
India,IND,2002,329.44482
India,IND,2003,315.37613
India,IND,2004,301.25327
India,IND,2005,285.7306
India,IND,2006,248.1678
India,IND,2007,233.98418
India,IND,2008,220.52026
India,IND,2009,207.09816
India,IND,2010,178.68156
India,IND,2011,169.90392
India,IND,2012,161.75648
India,IND,2013,154.24477
India,IND,2014,134.85806
India,IND,2015,127.67558
India,IND,2016,121.169075
India,IND,2017,118.66109
India,IND,2018,115.7112
India,IND,2019,116.38938
India,IND,2020,102.653915
Iran,IRN,1990,76.61473
Iran,IRN,1991,72.03216
Iran,IRN,1992,67.30126
Iran,IRN,1993,61.792774
Iran,IRN,1994,59.861526
Iran,IRN,1995,59.880753
Iran,IRN,1996,55.49371
Iran,IRN,1997,53.54683
Iran,IRN,1998,52.052322
Iran,IRN,1999,45.026962
Iran,IRN,2000,43.504265
Iran,IRN,2001,42.077885
Iran,IRN,2002,41.0059
Iran,IRN,2003,40.898182
Iran,IRN,2004,37.961914
Iran,IRN,2005,30.224026
Iran,IRN,2006,29.512062
Iran,IRN,2007,28.57518
Iran,IRN,2008,32.807003
Iran,IRN,2009,36.52495
Iran,IRN,2010,31.569935
Iran,IRN,2011,25.865252
Iran,IRN,2012,22.783613
Iran,IRN,2013,23.467667
Iran,IRN,2014,20.895805
Iran,IRN,2015,20.060368
Iran,IRN,2016,19.817562
Iran,IRN,2017,18.459864
Iran,IRN,2018,17.439306
Iran,IRN,2019,20.87619
Iran,IRN,2020,22.018887
Iraq,IRQ,1990,260.68503
Iraq,IRQ,1991,208.97438
Iraq,IRQ,1992,165.93445
Iraq,IRQ,1993,164.4976
Iraq,IRQ,1994,164.8223
Iraq,IRQ,1995,165.60596
Iraq,IRQ,1996,172.4441
Iraq,IRQ,1997,177.22331
Iraq,IRQ,1998,185.40517
Iraq,IRQ,1999,146.68796
Iraq,IRQ,2000,116.938675
Iraq,IRQ,2001,115.04527
Iraq,IRQ,2002,112.28373
Iraq,IRQ,2003,118.26358
Iraq,IRQ,2004,118.45935
Iraq,IRQ,2005,115.6275
Iraq,IRQ,2006,122.30174
Iraq,IRQ,2007,127.83975
Iraq,IRQ,2008,130.5476
Iraq,IRQ,2009,125.899216
Iraq,IRQ,2010,114.87607
Iraq,IRQ,2011,111.30041
Iraq,IRQ,2012,111.07641
Iraq,IRQ,2013,109.778786
Iraq,IRQ,2014,98.37459
Iraq,IRQ,2015,101.93897
Iraq,IRQ,2016,84.63409
Iraq,IRQ,2017,77.688286
Iraq,IRQ,2018,71.92842
Iraq,IRQ,2019,72.77916
Iraq,IRQ,2020,76.11046
Jamaica,JAM,1990,42.973568
Jamaica,JAM,1991,46.637054
Jamaica,JAM,1992,51.07144
Jamaica,JAM,1993,58.150646
Jamaica,JAM,1994,64.101364
Jamaica,JAM,1995,69.82545
Jamaica,JAM,1996,70.15046
Jamaica,JAM,1997,75.77768
Jamaica,JAM,1998,81.35502
Jamaica,JAM,1999,81.21541
Jamaica,JAM,2000,83.00716
Jamaica,JAM,2001,86.74718
Jamaica,JAM,2002,86.504295
Jamaica,JAM,2003,86.094925
Jamaica,JAM,2004,81.770836
Jamaica,JAM,2005,86.15855
Jamaica,JAM,2006,94.1998
Jamaica,JAM,2007,91.70157
Jamaica,JAM,2008,96.14826
Jamaica,JAM,2009,94.73815
Jamaica,JAM,2010,87.71298
Jamaica,JAM,2011,79.78062
Jamaica,JAM,2012,82.57713
Jamaica,JAM,2013,90.04402
Jamaica,JAM,2014,100.99665
Jamaica,JAM,2015,96.971085
Jamaica,JAM,2016,98.23959
Jamaica,JAM,2017,101.46146
Jamaica,JAM,2018,90.51271
Jamaica,JAM,2019,93.04639
Jamaica,JAM,2020,98.8789
Jordan,JOR,1990,81.75672
Jordan,JOR,1991,77.45081
Jordan,JOR,1992,77.81638
Jordan,JOR,1993,77.10413
Jordan,JOR,1994,73.13827
Jordan,JOR,1995,73.94581
Jordan,JOR,1996,74.55539
Jordan,JOR,1997,71.292885
Jordan,JOR,1998,68.490105
Jordan,JOR,1999,68.3878
Jordan,JOR,2000,64.33899
Jordan,JOR,2001,63.50382
Jordan,JOR,2002,62.41066
Jordan,JOR,2003,60.202198
Jordan,JOR,2004,58.78852
Jordan,JOR,2005,57.737617
Jordan,JOR,2006,55.704506
Jordan,JOR,2007,52.808655
Jordan,JOR,2008,51.00979
Jordan,JOR,2009,50.266796
Jordan,JOR,2010,46.616848
Jordan,JOR,2011,47.069824
Jordan,JOR,2012,47.86479
Jordan,JOR,2013,45.22782
Jordan,JOR,2014,45.247295
Jordan,JOR,2015,46.134136
Jordan,JOR,2016,42.89453
Jordan,JOR,2017,42.312275
Jordan,JOR,2018,41.6902
Jordan,JOR,2019,41.291813
Jordan,JOR,2020,41.31479
Kazakhstan,KAZ,1990,83.22748
Kazakhstan,KAZ,1991,86.2613
Kazakhstan,KAZ,1992,82.07255
Kazakhstan,KAZ,1993,80.57572
Kazakhstan,KAZ,1994,75.18608
Kazakhstan,KAZ,1995,76.56846
Kazakhstan,KAZ,1996,70.79228
Kazakhstan,KAZ,1997,70.61854
Kazakhstan,KAZ,1998,66.592186
Kazakhstan,KAZ,1999,61.735622
Kazakhstan,KAZ,2000,56.33923
Kazakhstan,KAZ,2001,51.673588
Kazakhstan,KAZ,2002,49.172237
Kazakhstan,KAZ,2003,41.720623
Kazakhstan,KAZ,2004,35.987766
Kazakhstan,KAZ,2005,35.530624
Kazakhstan,KAZ,2006,30.565393
Kazakhstan,KAZ,2007,28.015612
Kazakhstan,KAZ,2008,25.931658
Kazakhstan,KAZ,2009,23.011576
Kazakhstan,KAZ,2010,19.637888
Kazakhstan,KAZ,2011,16.888693
Kazakhstan,KAZ,2012,14.411955
Kazakhstan,KAZ,2013,13.010822
Kazakhstan,KAZ,2014,12.988152
Kazakhstan,KAZ,2015,12.553682
Kazakhstan,KAZ,2016,13.402437
Kazakhstan,KAZ,2017,13.40551
Kazakhstan,KAZ,2018,13.802158
Kazakhstan,KAZ,2019,14.016989
Kazakhstan,KAZ,2020,13.383632
Kenya,KEN,1990,582.9607
Kenya,KEN,1991,565.5924
Kenya,KEN,1992,574.0339
Kenya,KEN,1993,562.82745
Kenya,KEN,1994,553.1697
Kenya,KEN,1995,563.506
Kenya,KEN,1996,560.80597
Kenya,KEN,1997,535.7814
Kenya,KEN,1998,542.9589
Kenya,KEN,1999,547.4636
Kenya,KEN,2000,563.7612
Kenya,KEN,2001,567.1442
Kenya,KEN,2002,536.33777
Kenya,KEN,2003,525.45636
Kenya,KEN,2004,504.09488
Kenya,KEN,2005,503.43677
Kenya,KEN,2006,493.36142
Kenya,KEN,2007,494.0975
Kenya,KEN,2008,483.50565
Kenya,KEN,2009,464.1277
Kenya,KEN,2010,475.5001
Kenya,KEN,2011,472.805
Kenya,KEN,2012,476.98462
Kenya,KEN,2013,516.2126
Kenya,KEN,2014,506.8487
Kenya,KEN,2015,482.9714
Kenya,KEN,2016,504.67444
Kenya,KEN,2017,489.94156
Kenya,KEN,2018,511.50998
Kenya,KEN,2019,502.91656
Kenya,KEN,2020,529.9623
Lebanon,LBN,1990,56.130527
Lebanon,LBN,1991,42.125854
Lebanon,LBN,1992,43.175564
Lebanon,LBN,1993,42.35518
Lebanon,LBN,1994,39.025078
Lebanon,LBN,1995,39.846077
Lebanon,LBN,1996,39.309334
Lebanon,LBN,1997,33.574818
Lebanon,LBN,1998,33.949516
Lebanon,LBN,1999,33.022003
Lebanon,LBN,2000,31.917574
Lebanon,LBN,2001,27.478626
Lebanon,LBN,2002,25.055334
Lebanon,LBN,2003,25.094446
Lebanon,LBN,2004,24.598488
Lebanon,LBN,2005,24.615446
Lebanon,LBN,2006,21.07721
Lebanon,LBN,2007,19.888842
Lebanon,LBN,2008,19.412743
Lebanon,LBN,2009,18.738405
Lebanon,LBN,2010,17.993435
Lebanon,LBN,2011,19.745079
Lebanon,LBN,2012,19.543291
Lebanon,LBN,2013,19.816673
Lebanon,LBN,2014,19.5172
Lebanon,LBN,2015,19.419146
Lebanon,LBN,2016,19.19316
Lebanon,LBN,2017,19.440784
Lebanon,LBN,2018,17.85494
Lebanon,LBN,2019,19.592762
Lebanon,LBN,2020,20.624624
Liberia,LBR,1990,1553.0199
Liberia,LBR,1991,1435.8054
Liberia,LBR,1992,1525.3835
Liberia,LBR,1993,1618.819
Liberia,LBR,1994,1723.4918
Liberia,LBR,1995,1524.3645
Liberia,LBR,1996,1392.1243
Liberia,LBR,1997,1074.047
Liberia,LBR,1998,962.5152
Liberia,LBR,1999,859.25085
Liberia,LBR,2000,777.4341
Liberia,LBR,2001,746.8344
Liberia,LBR,2002,758.3454
Liberia,LBR,2003,805.13116
Liberia,LBR,2004,699.789
Liberia,LBR,2005,676.47394
